Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Item_Sales
1FDA15,9.3,Low Fat,0.016047301,Dairy,249.8092,3735.138
2FDN15,17.5,Low Fat,0.016760075,Meat,141.618,2097.27
3NCD19,8.93,Low Fat,0,Household,53.8614,994.7052
4FDO10,13.65,Regular,0.012741089,Snack Foods,57.6588,343.5528
5FDH17,16.2,Regular,0.016687114,Frozen Foods,96.9726,1076.5986
6FDU28,19.2,Regular,0.09444959,Frozen Foods,187.8214,4710.535
7FDY07,11.8,Low Fat,0,Fruits and Vegetables,45.5402,1516.0266
8FDA03,18.5,Regular,0.045463773,Dairy,144.1102,2187.153
9FDX32,15.1,Regular,0.1000135,Fruits and Vegetables,145.4786,1589.2646
10FDS46,17.6,Regular,0.047257328,Snack Foods,119.6782,2145.2076
11FDF32,16.35,Low Fat,0.0680243,Fruits and Vegetables,196.4426,1977.426
12FDP49,9,Regular,0.069088961,Breakfast,56.3614,1547.3192
13FDU02,13.35,Low Fat,0.10249212,Dairy,230.5352,2748.4224
14FDN22,18.85,Regular,0.138190277,Snack Foods,250.8724,3775.086
15FDR28,13.85,Regular,0.025896485,Frozen Foods,165.021,4078.025
16NCD06,13,Low Fat,0.099887103,Household,45.906,838.908
17FDV10,7.645,Regular,0.066693437,Snack Foods,42.3112,1065.28
18DRJ59,11.65,Low Fat,0.019356132,Hard Drinks,39.1164,308.9312
19FDO23,17.85,Low Fat,0,Breads,93.1436,2174.5028
20DRH01,17.5,Low Fat,0.097904029,Soft Drinks,174.8738,2085.2856
21NCX29,10,Low Fat,0.089291137,Health and Hygiene,146.7102,3791.0652
22FDU02,13.35,Low Fat,0.102511504,Dairy,230.6352,3435.528
23FDK43,9.8,Low Fat,0.02681843,Meat,126.002,2150.534
24FDA46,13.6,Low Fat,0.117818348,Snack Foods,192.9136,2527.3768
25NCP05,19.6,Low Fat,0,Health and Hygiene,153.3024,2428.8384
26FDV49,10,Low Fat,0.025879577,Canned,265.2226,5815.0972
27FDL12,15.85,Regular,0.121632721,Baking Goods,60.622,2576.646
28NCL17,7.39,Low Fat,0.067779712,Health and Hygiene,143.8812,3134.5864
29FDM40,10.195,Low Fat,0.159803853,Frozen Foods,141.5154,850.8924
30FDR13,9.895,Regular,0.028696932,Canned,117.0492,810.9444
31FDA43,10.895,Low Fat,0.065041581,Fruits and Vegetables,196.3794,3121.2704
32NCP18,12.15,Low Fat,0.028760013,Household,151.4708,4815.0656
33NCX54,9.195,Low Fat,0.048157338,Household,106.1622,2117.244
34DRK35,8.365,Low Fat,0.071958197,Hard Drinks,38.0506,796.9626
35FDY21,15.1,Low Fat,0.173481304,Snack Foods,194.511,4910.275
36DRH37,17.6,Low Fat,0.041700756,Soft Drinks,164.8526,2302.3364
37NCI17,8.645,Low Fat,0.143422643,Health and Hygiene,95.841,2027.361
38FDJ58,15.6,Regular,0.105296072,Snack Foods,170.1764,3435.528
39FDL12,15.85,Regular,0.121531501,Baking Goods,59.222,599.22
40FDH35,18.25,Low Fat,0,Starchy Foods,164.7526,4604.6728
41FDG02,7.855,Low Fat,0.011324862,Canned,189.6188,2285.0256
42NCZ18,7.825,Low Fat,0.186357148,Household,254.3698,5580.7356
43FDC29,8.39,Regular,0.024205661,Frozen Foods,114.0176,2290.352
44FDQ10,12.85,Low Fat,0.033230816,Snack Foods,172.3422,1207.0954
45FDL04,19,Low Fat,0.112556507,Frozen Foods,104.9622,1587.933
46FDV25,5.905,Low Fat,0,Canned,222.5456,5305.0944
47FDD58,7.76,Low Fat,0.059352241,Snack Foods,101.87,1697.79
48FDN04,11.8,Regular,0.014087057,Frozen Foods,180.3344,1427.4752
49FDN33,6.305,Regular,0.123115764,Snack Foods,95.6436,661.8052
50FDN27,20.85,Low Fat,0.039624006,Meat,117.2808,1523.3504
51DRG27,8.895,Low Fat,0.105274111,Dairy,39.9138,690.4346
52DRI25,19.6,Low Fat,0.033970195,Soft Drinks,55.1614,1381.535
53FDA44,19.7,Low Fat,0.053212652,Fruits and Vegetables,57.893,622.523
54NCR17,9.8,Low Fat,0.024378706,Health and Hygiene,114.5492,1274.3412
55DRK49,14.15,Low Fat,0.035913805,Soft Drinks,41.4138,812.276
56FDD03,13.3,Low Fat,0.079806266,Dairy,232.53,699.09
57FDS52,8.89,low fat,0.005505481,Frozen Foods,102.4016,2732.4432
58FDV11,9.1,Regular,0,Breads,173.2054,3151.8972
59FDD17,7.5,Low Fat,0.032677678,Frozen Foods,239.0906,5942.265
60FDZ16,16.85,Regular,0.160760054,Frozen Foods,192.4478,4843.695
61FDZ46,7.485,Low Fat,0.06911065,Snack Foods,109.0228,2542.0244
62DRA12,11.6,Low Fat,0.041177505,Soft Drinks,140.3154,2552.6772
63FDJ38,8.6,Regular,0.040197932,Canned,190.153,3036.048
64FDW11,12.6,Low Fat,0.049058014,Breads,62.7194,866.8716
65FDL40,17.7,Low Fat,0.01161096,Frozen Foods,95.041,868.869
66DRI49,14.15,Low Fat,0.183507295,Soft Drinks,82.4276,1137.1864
67FDV38,19.25,Low Fat,0.102349519,Dairy,52.7956,928.1252
68DRG23,8.88,Low Fat,0.086708987,Hard Drinks,151.7682,762.341
69NCP30,20.5,Low Fat,0.032835147,Household,40.2822,707.0796
70NCC31,8.02,Low Fat,0.019866705,Household,154.5972,1402.1748
71NCX54,9.195,Low Fat,0.048331717,Household,105.1622,1693.7952
72NCO55,12.8,Low Fat,0.091221855,Others,105.5938,2143.876
73NCC30,16.6,Low Fat,0.027622076,Household,177.6344,2676.516
74FDI16,14,Regular,0,Frozen Foods,53.064,905.488
75FDP16,18.6,Low Fat,0.039355947,Frozen Foods,246.3802,7370.406
76FDB11,16,Low Fat,0.060836524,Starchy Foods,226.8404,6301.1312
77NCB06,17.6,Low Fat,0.082316506,Health and Hygiene,160.692,1597.92
78FDA45,21.25,Low Fat,0.155350299,Snack Foods,178.237,529.311
79NCO26,7.235,Low Fat,0.076841095,Household,117.5492,1969.4364
80DRJ25,14.6,Low Fat,0.151419185,Soft Drinks,50.3692,1034.6532
81FDN13,18.6,Low Fat,0.152918384,Breakfast,99.8358,1910.1802
82DRD24,13.85,Low Fat,0.030969274,Soft Drinks,140.9154,1701.7848
83FDQ28,14,Regular,0.060376776,Frozen Foods,154.5656,2471.4496
84FDM22,14,Regular,0.04192285,Snack Foods,54.764,1331.6
85DRF49,7.27,Low Fat,0.071077939,Soft Drinks,114.2518,2618.5914
86FDW51,6.155,Regular,0.094659871,Meat,214.556,2769.728
87DRL01,19.5,Regular,0.077608838,Soft Drinks,233.4958,5375.0034
88FDP25,15.2,Low Fat,0.021327477,Canned,216.8824,2838.9712
89NCM43,14.5,Low Fat,0.019471688,Others,164.821,2120.573
90FDK44,16.6,Low Fat,0.122918852,Fruits and Vegetables,173.0738,3823.0236
91FDM15,11.8,Regular,0.057373797,Meat,151.4366,1360.2294
92FDS31,13.1,Regular,0.044155597,Fruits and Vegetables,178.8318,3969.4996
93NCW29,14,Low Fat,0.028907832,Health and Hygiene,130.431,778.986
94FDE04,19.75,Regular,0.018059621,Frozen Foods,179.766,2336.958
95NCB19,6.525,Low Fat,0.090436094,Household,85.0882,2233.0932
96FDV15,10.3,Low Fat,0.146399712,Meat,103.9648,1661.8368
97FDL58,5.78,Regular,0.074264356,Snack Foods,264.7568,4745.8224
98FDA08,11.85,Regular,0.050186726,Fruits and Vegetables,164.1526,3124.5994
99FDT20,10.5,Low Fat,0.041395445,Fruits and Vegetables,37.6164,540.6296
100FDB41,19,Regular,0.097313129,Frozen Foods,48.0718,992.7078
101NCN55,14.6,Low Fat,0.059582996,Others,238.8538,6008.845
